Geo ID,INTPTLAT,INTPTLON,ZIPCODE
484910212012,30.5790061,-97.4275916,76574
484910210002,30.5535372,-97.3882276,76574
484910215021,30.5301229,-97.6842944,78664
484910205031,30.4948631,-97.69974,78681
484910203272,30.5252509,-97.8376294,78613
484910209002,30.5855409,-97.2990642,76578
484910203251,30.5358988,-97.8435802,78613
484910213004,30.7334191,-97.4104523,76530
484910203271,30.5126837,-97.8368827,78613
484910203211,30.5535065,-97.8488554,78641
484910212011,30.5870875,-97.435939,76574
484530024102,30.2019092,-97.7889638,78745
484530021132,30.3144843,-97.6755752,78723
484530019181,30.2998867,-97.8009244,78746
484530024233,30.1803481,-97.799467,78748
484530001021,30.3342867,-97.7695659,78731
484530024242,30.1947656,-97.7946389,78715
484530024241,30.1905789,-97.8021281,78715
484530024232,30.1793845,-97.8124756,78715
484530024222,30.1823631,-97.7794163,78745
484530024221,30.1906024,-97.7846019,78745
484910201112,30.6543056,-97.6891333,78628
484530021121,30.3179053,-97.68751,78723
484530003052,30.3138371,-97.7287094,78751
484530024123,30.191682,-97.7549155,78744
484530024122,30.1855734,-97.7498856,78744
482090109052,29.9997749,-97.8900197,78640
484530003023,30.3017976,-97.7277873,78751
482090109092,30.0166368,-97.8877538,78640
482090109053,29.9822426,-97.8812919,78640
484530024101,30.2092503,-97.7845904,78745
482090109093,30.0230314,-97.8781452,78640
484530024121,30.1908591,-97.7471935,78744
484530024113,30.1967312,-97.7491454,78744
484530024111,30.2084521,-97.7468474,78744
484530024093,30.2032719,-97.7942807,78745
484530024091,30.2113986,-97.7911147,78745
484530024032,30.2068841,-97.765919,78745
484530024031,30.2139103,-97.7609197,78745
484530023161,30.2390961,-97.7290694,78741
484530020022,30.2209436,-97.7891755,78745
484910207062,30.5033496,-97.6164935,78665
484910201151,30.7012596,-97.7084245,78633
484910201092,30.6985534,-97.7620048,78633
484910216013,30.801017,-97.6016483,76537
484530023042,30.247332,-97.731847,78741
484910216012,30.7587234,-97.622128,78673
484910204103,30.445995,-97.7616316,78729
484910204111,30.4654864,-97.7390817,78729
484910204031,30.4599858,-97.8084931,78750
484910201081,30.6988531,-97.6759821,78628
484910207061,30.5169314,-97.6183373,78665
484910201152,30.694699,-97.701965,
484910215022,30.5313532,-97.6729381,78664
484910204104,30.4463639,-97.7729773,78729
484910216021,30.654968,-97.5519365,78674
484530021042,30.3114555,-97.6991172,78723
484910215061,30.5514813,-97.6375634,78665
484910207071,30.5104283,-97.6486718,78664
484910207011,30.5059838,-97.678905,78680
484910204102,30.4380223,-97.7641749,78859
484530023101,30.2133021,-97.6534621,78617
484910205032,30.5017106,-97.6922796,78681
484910215031,30.5209018,-97.6821687,78680
484910201143,30.6650051,-97.688596,78628
484910204113,30.4514526,-97.7549107,78729
484910204092,30.4593391,-97.7713565,78729
484910204082,30.4553965,-97.7846629,78729
484910204042,30.4528785,-97.816709,78750
484910204054,30.4429474,-97.7868167,78750
484530401002,30.3564425,-97.7045101,78757
484910205093,30.5088824,-97.7515058,78717
484910206023,30.5225067,-97.6988309,78681
484910203262,30.4796986,-97.8447299,78713
484910203261,30.4898915,-97.8466294,78713
484530019211,30.2832128,-97.8826267,78735
484910205091,30.503101,-97.763969,78717
484910206041,30.5943034,-97.727929,
484910203111,30.4844971,-97.7975309,78613
484910201131,30.661658,-97.6640067,78628
484910201093,30.6839977,-97.7437804,78633
484910201132,30.6782494,-97.6567289,78626
484530021071,30.2896637,-97.6883221,78723
484910216032,30.8434971,-97.6256998,76537
484910201111,30.6713973,-97.7091202,78628
484910201061,30.7161016,-97.6756414,
484530021073,30.3007794,-97.6789798,78723
484530021062,30.3036944,-97.6866421,78723
484530021061,30.3113948,-97.6890435,78723
484530021053,30.3192233,-97.6998724,78752
484910216031,30.7723979,-97.6502428,78637
484530016035,30.2976137,-97.7626199,78703
484530020021,30.2239737,-97.783038,78745
484530019132,30.3103592,-97.7897504,78746
484530019122,30.3356906,-97.7913994,78731
484530019121,30.3220747,-97.8279266,78746
484530008023,30.2700814,-97.7111778,78702
